cell,final_accuracy_mean,final_donor_accuracy_mean,final_natural_swap_mse_mean,final_risk_mean,final_value_flip_mean,final_walsh_target_coefficient_mean,function_cell_gate_pass,function_success_rate,n_donor_success,n_function_and_donor_success,n_function_success,n_scheduled_seeds,optimizer,registered_s_key_evaluated,target_edge_attention_screen_pass
C16-d16-L2-H1-m4-ffn32,1.0,1.0,3.637824367312229e-05,5.155755570740439e-05,0.9998697837193807,0.9998222043116888,True,1.0,12,12,12,12,adamw,False,True
C16-d16-L2-H1-m4-ffnnone,1.0,1.0,6.117358248047822e-05,7.88421983391648e-05,0.9999580234289169,1.0000140964984894,True,1.0,12,12,12,12,adamw,False,True
C16-d16-L2-H4-m4-ffn32,1.0,1.0,9.462396974413423e-05,8.952627892237312e-05,0.9992224077383677,0.9992232720057169,True,1.0,12,12,12,12,adamw,False,True
C16-d16-L2-H4-m4-ffnnone,0.9991861979166666,0.9990234375,0.0020329966476613968,0.001154090421247626,0.9987253944079081,0.9985775301853815,True,1.0,10,10,12,12,adamw,False,True
C64-d16-L2-H1-m4-ffn32,1.0,1.0,3.1747778545347195e-05,6.948187031715254e-05,1.0000706017017365,1.000209738810857,True,1.0,12,12,12,12,adamw,False,True
C64-d16-L2-H1-m4-ffnnone,0.9996744791666666,1.0,0.0008574840174636241,0.000656177551112099,0.999286875128746,0.9995800703763962,True,1.0,10,10,12,12,adamw,False,True
C64-d16-L2-H4-m4-ffn32,0.9986979166666666,0.9993489583333334,0.0017939697463589255,0.001550984207521348,0.9970249285300573,0.9979934344689051,True,1.0,9,9,12,12,adamw,False,True
C64-d16-L2-H4-m4-ffnnone,0.99853515625,0.9986979166666666,0.0031802225409289044,0.0024304902071889956,0.9943313946326574,0.9944457908471426,True,1.0,6,6,12,12,adamw,False,True
C16-d16-L2-H1-m4-ffn32,1.0,1.0,8.521183478175469e-05,9.001192817474173e-05,1.000602235396703,1.0006017138560612,True,1.0,12,12,12,12,sgd,False,True
C16-d16-L2-H1-m4-ffnnone,1.0,1.0,6.820127153635742e-05,8.317080846609315e-05,0.9995580514272054,0.9995392809311548,True,1.0,12,12,12,12,sgd,False,True
C16-d16-L2-H4-m4-ffn32,1.0,1.0,0.00014620297103344151,0.00015732836739819808,1.000063916047414,1.000061626235644,True,1.0,12,12,12,12,sgd,False,True
C16-d16-L2-H4-m4-ffnnone,1.0,1.0,0.00015473297389689833,0.00013652149815849649,0.9994768351316452,0.9996252258618673,True,1.0,12,12,12,12,sgd,False,True
C64-d16-L2-H1-m4-ffn32,1.0,1.0,0.0001487041930280005,0.00011934477758283417,0.9994127849737803,0.9993965874115626,True,1.0,12,12,12,12,sgd,False,True
C64-d16-L2-H1-m4-ffnnone,0.9737955729166666,0.97412109375,0.00020588923325703945,0.031238593620704098,0.9368901426593462,0.937130785236756,True,0.9166666666666666,11,11,11,12,sgd,False,True
C64-d16-L2-H4-m4-ffn32,0.9998372395833334,0.9996744791666666,0.001608090514006714,0.0005297871393850073,0.9973391989866892,0.9973444392283758,True,1.0,9,9,12,12,sgd,False,True
C64-d16-L2-H4-m4-ffnnone,0.9996744791666666,0.9996744791666666,0.001698497834695445,0.000813203976576915,0.9947370092074076,0.9944772372643153,True,1.0,10,10,12,12,sgd,False,True
