cell,cell_index,head,layer,metric,module,optimizer,raw_cell_id,seed,step,value
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_mean_distractor_mass,attention,adamw,cell-004-3bbcb7f3f746,0,0,0.08597756177186966
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_self_mass,attention,adamw,cell-004-3bbcb7f3f746,0,0,0.6678453683853149
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_target_mass,attention,adamw,cell-004-3bbcb7f3f746,0,0,0.07422196120023727
C16-d16-L2-H1-m4-ffn32,4,0,0,attention_target_over_distractor_log_margin,attention,adamw,cell-004-3bbcb7f3f746,0,0,-0.286697655916214
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_mean_distractor_mass,attention,adamw,cell-004-3bbcb7f3f746,0,0,0.21196451783180237
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_self_mass,attention,adamw,cell-004-3bbcb7f3f746,0,0,0.1353161484003067
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_target_mass,attention,adamw,cell-004-3bbcb7f3f746,0,0,0.2287902981042862
C16-d16-L2-H1-m4-ffn32,4,0,1,attention_target_over_distractor_log_margin,attention,adamw,cell-004-3bbcb7f3f746,0,0,-0.04058866202831268
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_branch_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,0,-0.003004771191626787
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_cancellation_fraction,ffn,adamw,cell-004-3bbcb7f3f746,0,0,0.17928889393806458
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_opposition_rate,ffn,adamw,cell-004-3bbcb7f3f746,0,0,0.34375
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_skip_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,0,0.0024886364117264748
C16-d16-L2-H1-m4-ffn32,4,,0,ffn_total_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,0,-0.0005161343142390251
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_branch_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,0,0.00291344802826643
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_cancellation_fraction,ffn,adamw,cell-004-3bbcb7f3f746,0,0,0.242158904671669
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_opposition_rate,ffn,adamw,cell-004-3bbcb7f3f746,0,0,0.58984375
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_skip_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,0,-0.005010026507079601
C16-d16-L2-H1-m4-ffn32,4,,1,ffn_total_signed,ffn,adamw,cell-004-3bbcb7f3f746,0,0,-0.0020965798757970333
C16-d16-L2-H1-m4-ffn32,4,0,0,ov_distractor_gain,ov,adamw,cell-004-3bbcb7f3f746,0,0,1.0140962600708008
