comparison,sequence_length,num_kv_pairs,metric,seed_count,mean_paired_difference,ci95_low,ci95_high,bootstrap_unit
qk-small-minus-standard,64,4,accuracy,20,-0.01171875,-0.030859375,0.006640625,training_seed
qk-small-minus-standard,64,4,nll,20,0.06401135697960854,-0.07934660306200385,0.21462913382798424,training_seed
qk-small-minus-standard,256,16,accuracy,20,-0.03212890625,-0.073145751953125,0.009328613281249787,training_seed
qk-small-minus-standard,256,16,nll,20,0.16414557620882989,-0.05194766918197274,0.369958997387439,training_seed
qk-small-minus-standard,512,16,accuracy,20,-0.043212890625,-0.082861328125,-0.0034655761718751063,training_seed
qk-small-minus-standard,512,16,nll,20,0.3010791689157486,0.07716663867235184,0.5294662916660308,training_seed
qk-small-minus-standard,1024,32,accuracy,20,-0.023583984375,-0.0517822265625,0.0027838134765624466,training_seed
qk-small-minus-standard,1024,32,nll,20,0.3687235593795776,0.10570688605308533,0.6567259597778319,training_seed
qk-zero-minus-standard,64,4,accuracy,20,-0.856640625,-0.872265625,-0.840234375,training_seed
qk-zero-minus-standard,64,4,nll,20,5.6092841774225235,5.472609515562653,5.746254676245154,training_seed
qk-zero-minus-standard,256,16,accuracy,20,-0.879736328125,-0.899072265625,-0.8583984375,training_seed
qk-zero-minus-standard,256,16,nll,20,7.137228514999151,7.023773110844195,7.245258334279061,training_seed
qk-zero-minus-standard,512,16,accuracy,20,-0.823291015625,-0.839405517578125,-0.806494140625,training_seed
qk-zero-minus-standard,512,16,nll,20,6.5952188044786455,6.486934347972274,6.706827274933457,training_seed
qk-zero-minus-standard,1024,32,accuracy,20,-0.404833984375,-0.4251708984375,-0.38671813964843754,training_seed
qk-zero-minus-standard,1024,32,nll,20,0.6089907169342041,0.32838195979595186,0.8998712587356567,training_seed
