arm,causal_distractor_effect,causal_slot_s_key,causal_target_effect,distractor_key_attention,distractor_value_attention,head,layer,path_scope,seed,step,target_key_attention,target_key_score_margin,target_value_attention
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06591796875,0.0666535496711731,0,0,query-row-to-full-card-direct-edges-all-layers,100,0,0.06610041111707687,-0.0007621655240654945,0.06638354063034058
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06688228249549866,0.06644904613494873,1,0,query-row-to-full-card-direct-edges-all-layers,100,0,0.06663738191127777,-0.00454745115712285,0.06517351418733597
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06687821447849274,0.06612371653318405,2,0,query-row-to-full-card-direct-edges-all-layers,100,0,0.067143514752388,0.005813331808894873,0.06535544991493225
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06642169505357742,0.0664704367518425,3,0,query-row-to-full-card-direct-edges-all-layers,100,0,0.0665590912103653,0.006209346931427717,0.06668989360332489
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.0664370059967041,0.06649333238601685,0,1,query-row-to-full-card-direct-edges-all-layers,100,0,0.06571690738201141,-0.0038910917937755585,0.06639914214611053
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06686489284038544,0.06643063575029373,1,1,query-row-to-full-card-direct-edges-all-layers,100,0,0.0661332905292511,-0.007662559859454632,0.06689837574958801
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.0663377046585083,0.0663214921951294,2,1,query-row-to-full-card-direct-edges-all-layers,100,0,0.06696878373622894,0.006916159763932228,0.06710317730903625
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06599179655313492,0.0663500726222992,3,1,query-row-to-full-card-direct-edges-all-layers,100,0,0.06704339385032654,0.007243402302265167,0.06644029170274734
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06627535074949265,0.06670882552862167,0,2,query-row-to-full-card-direct-edges-all-layers,100,0,0.0663197934627533,-0.0032728821970522404,0.06647999584674835
standard,0.0023918449878692627,-0.007914870977401733,-0.005523025989532471,0.06651738286018372,0.06645019352436066,1,2,query-row-to-full-card-direct-edges-all-layers,100,0,0.06528954207897186,-0.014988694339990616,0.06645847856998444
