arm,composite_skew_fraction,distractor_key_attention,head,layer,normalized_composite_trace,qk_factor_cosine,qk_initial_scale,relation,seed,step,target_key_attention,target_key_score_margin
independent,0.7037911167633868,0.06366651505231857,0,0,-0.057804645056641804,-0.010180939284125298,1.0,independent,100,0,0.06348481774330139,-0.003910537343472242
independent,0.7041772535598523,0.06330902129411697,1,0,0.10189333619792712,0.017951675015048945,1.0,independent,100,0,0.06365998834371567,0.008133858442306519
independent,0.7002453742629658,0.06363566219806671,2,0,0.1318987849770127,0.02317015746910823,1.0,independent,100,0,0.06394658237695694,0.004928521811962128
independent,0.6989037579318631,0.06362902373075485,3,0,0.09745497949230568,0.01710672914079538,1.0,independent,100,0,0.06299899518489838,-0.007347900420427322
independent,0.707428484146934,0.06330602616071701,0,1,0.0035041143995144823,0.0006212410421782266,1.0,independent,100,0,0.06359672546386719,0.0012550272513180971
independent,0.7009333469062392,0.06345751881599426,1,1,-0.013354593202551052,-0.0023439841009369414,1.0,independent,100,0,0.06432440876960754,0.013791607692837715
independent,0.7046736649941021,0.0634978860616684,2,1,-0.08239693314236005,-0.014572728281272946,1.0,independent,100,0,0.06391559541225433,0.007232125382870436
independent,0.7062649734309722,0.06355937570333481,3,1,-0.005394506112726125,-0.0009538915675759173,1.0,independent,100,0,0.06323353946208954,-0.00719509506598115
independent,0.7030279445288741,0.06357171386480331,0,2,0.10662515144118982,0.018811524347292555,1.0,independent,100,0,0.06306181848049164,-0.008427295833826065
independent,0.7017851098118667,0.06372027844190598,1,2,-0.05482874775514098,-0.009658269146511684,1.0,independent,100,0,0.06312263011932373,-0.010708210058510303
independent,0.7035871777704357,0.06363756954669952,2,2,-0.18085055449676776,-0.031936539881820956,1.0,independent,100,0,0.06345440447330475,-0.002013606484979391
independent,0.7033443859128428,0.06364503502845764,3,2,0.2527434757021462,0.044076646516044836,1.0,independent,100,0,0.06362585723400116,0.0022040389012545347
independent,0.7053097336240464,0.0635257214307785,0,3,0.12373729872811598,0.022043014087688186,1.0,independent,100,0,0.06354337930679321,-0.0020907383877784014
independent,0.7057048302815694,0.06351631879806519,1,3,-0.05963162188467356,-0.010445130255719916,1.0,independent,100,0,0.06353875994682312,-0.0031343717128038406
independent,0.7023159802210504,0.06376060098409653,2,3,0.020027479983612765,0.003555294055852319,1.0,independent,100,0,0.06342113018035889,-0.005855283699929714
independent,0.700845809383202,0.06393254548311234,3,3,-0.18226698390201984,-0.03228427102593198,1.0,independent,100,0,0.06316357851028442,-0.011199986562132835
