study_id,cohort,seed,comparison,comparison_role,endpoint,estimand,value
phase2-residual-factorization-noffn-discovery-remedy-v2,discovery-remedy,100,dense_vs_factorized,capacity_plus_conditioning_upper_bound,I_swap,log2_treatment_over_baseline_at_step_6400,-4.562646192643588
phase2-residual-factorization-noffn-discovery-remedy-v2,discovery-remedy,101,dense_vs_factorized,capacity_plus_conditioning_upper_bound,I_swap,log2_treatment_over_baseline_at_step_6400,-9.590501398481312
phase2-residual-factorization-noffn-discovery-remedy-v2,discovery-remedy,102,dense_vs_factorized,capacity_plus_conditioning_upper_bound,I_swap,log2_treatment_over_baseline_at_step_6400,-10.8231095043145
phase2-residual-factorization-noffn-discovery-remedy-v2,discovery-remedy,103,dense_vs_factorized,capacity_plus_conditioning_upper_bound,I_swap,log2_treatment_over_baseline_at_step_6400,-11.034136746863195
phase2-residual-factorization-noffn-discovery-remedy-v2,discovery-remedy,104,dense_vs_factorized,capacity_plus_conditioning_upper_bound,I_swap,log2_treatment_over_baseline_at_step_6400,-13.3113276063142
phase2-residual-factorization-noffn-discovery-remedy-v2,discovery-remedy,105,dense_vs_factorized,capacity_plus_conditioning_upper_bound,I_swap,log2_treatment_over_baseline_at_step_6400,-10.906643413203643
phase2-residual-factorization-noffn-discovery-remedy-v2,discovery-remedy,106,dense_vs_factorized,capacity_plus_conditioning_upper_bound,I_swap,log2_treatment_over_baseline_at_step_6400,-12.676621149835547
phase2-residual-factorization-noffn-discovery-remedy-v2,discovery-remedy,107,dense_vs_factorized,capacity_plus_conditioning_upper_bound,I_swap,log2_treatment_over_baseline_at_step_6400,-9.338458725873336
phase2-residual-factorization-noffn-discovery-remedy-v2,discovery-remedy,108,dense_vs_factorized,capacity_plus_conditioning_upper_bound,I_swap,log2_treatment_over_baseline_at_step_6400,-5.51070078249243
phase2-residual-factorization-noffn-discovery-remedy-v2,discovery-remedy,109,dense_vs_factorized,capacity_plus_conditioning_upper_bound,I_swap,log2_treatment_over_baseline_at_step_6400,-7.517110533025008
phase2-residual-factorization-noffn-discovery-remedy-v2,discovery-remedy,110,dense_vs_factorized,capacity_plus_conditioning_upper_bound,I_swap,log2_treatment_over_baseline_at_step_6400,-9.060687316686503
phase2-residual-factorization-noffn-discovery-remedy-v2,discovery-remedy,111,dense_vs_factorized,capacity_plus_conditioning_upper_bound,I_swap,log2_treatment_over_baseline_at_step_6400,-7.184769275163649
