aggregation_level,arm,conditional_mean_d,distractor_value,episode_count,fraction_of_checkpoint_i_swap,label,new,old,query,seed,slot,source_state_sha256,step,sum_d,tail_rank,target_slot
ordered_triad,h1-factorized-constant-6400,0.00016451835199614675,,22,0.0022112810941949473,,22,18,21,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0036194037439152282,1,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.0008549710759702123,-1,3,0.0015670382555868206,1,21,22,4,100,1,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.002564913227910637,1,3
ordered_triad,h1-factorized-constant-6400,0.00017205149909030193,,21,0.002207418496464673,,21,22,4,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0036130814808963407,2,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.0012714239622955148,-1,2,0.0015535574196479309,1,0,24,12,100,0,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0025428479245910296,2,1
ordered_triad,h1-factorized-constant-6400,0.00015193332553589824,,19,0.0017636547254805993,,21,6,4,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0028867331851820666,3,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.002055564407758226,-1,1,0.0012558506965180006,1,21,6,4,100,1,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.002055564407758226,3,3
ordered_triad,h1-factorized-constant-6400,0.00016093812041551026,,16,0.0015732068514693913,,0,24,12,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.002575009926648164,4,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.001707576059303051,-1,1,0.0010432466019257077,1,25,6,12,100,0,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.001707576059303051,4,1
ordered_triad,h1-factorized-constant-6400,0.00010671763741780065,,24,0.0015647838864234378,,18,22,21,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0025612232980272154,5,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.0006877603584598546,1,2,0.0008403768054645835,-1,22,21,16,100,0,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0013755207169197092,5,3
ordered_triad,h1-factorized-constant-6400,0.00010033656621232012,,25,0.0015325200476372966,,22,21,16,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.002508414155308003,6,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.0013581139933762643,-1,1,0.0008297421370476633,1,8,14,4,100,0,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0013581139933762643,6,3
ordered_triad,h1-factorized-constant-6400,0.00014695275438958433,,16,0.0014364967072506725,,18,7,21,100,,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0023512440702333492,7,
ordered_triad_slot_value_stratum,h1-factorized-constant-6400,0.0013251393789346366,-1,1,0.000809596238258195,1,21,10,4,100,1,047d6a069d32d0f614477e833d2da48f5ca26c35b54b631b9b16b9642594357f,6400,0.0013251393789346366,7,3
