revision,revision_index,template_id,template_index,base_accuracy,base_risk,value_flip_effect,walsh_E_T,walsh_L_D,walsh_L_H,walsh_L_0,walsh_L_W,natural_swap_mse,direct_edge_target_effect,direct_edge_distractor_effect,direct_edge_s_key,best_attention_selectivity,best_attention_layer,best_attention_head,best_head_target_card_mass,best_head_distractor_card_mass,parallel_closure_max_abs,statistical_unit,checkpoint_is_seed
step0,0,compact_cards,0,0.4765625,0.5059949106396664,-0.0019180822673769348,1.0038956734181845,0.00025799795292782485,4.2561544603294615e-06,0.007831893753760174,0.008094147861148327,0.001997438893652167,0.009782619896698604,-0.002343007229958423,0.012125627126657027,0.01894361570723138,0,5,0.15088326893984783,0.13193965323261644,3.9898639947466563e-16,one_pretraining_trajectory,False
step0,0,line_records,1,0.484375,0.5086216107262346,-0.0024986580176801394,1.0050262294732977,9.055746733034435e-05,2.3548668809187968e-07,0.01212619902515308,0.012216991979171516,0.001311642869705711,0.007198189923294615,-0.002063206882816886,0.0092613968061115,0.021320486021871504,3,6,0.16280601665409705,0.14148553063222555,4.440892098500626e-16,one_pretraining_trajectory,False
step0,0,prose_facts,2,0.5,0.508484880391549,-0.0031435050858938376,1.0063182102338084,7.554330907047802e-05,2.6567560576475343e-08,0.010575980672658605,0.01065155054928966,0.00036826070992531946,0.005676005412574439,-0.0013634506111810311,0.00703945602375547,0.008968219078387851,5,0,0.1870249426547286,0.17805672357634075,4.163336342344337e-16,one_pretraining_trajectory,False
step0,0,bracket_dictionary,3,0.5,0.6906543951591079,-9.383438367986142e-05,1.000209273887295,5.174057752579024e-05,8.596185069932573e-07,0.38104691623488796,0.3810995164309207,0.0006855226051604628,0.005414851293299439,-0.0012246987181551213,0.006639550011454559,0.012973827126488008,5,6,0.18190748013450064,0.16893365300801264,4.996003610813204e-16,one_pretraining_trajectory,False
step64,1,compact_cards,0,0.5,0.544293195080775,0.001726925288118754,0.9965571407239333,3.448003606090911e-05,1.5007439784895958e-08,0.09199475439411609,0.09202924943761678,0.00016667437431787792,0.006031630792778084,-0.0011518627292681322,0.007183493522046217,0.01903650827947459,0,5,0.15131340835293927,0.13227690007346468,7.216449660063518e-16,one_pretraining_trajectory,False
step64,1,line_records,1,0.5,0.526719352232259,0.0011419759370055226,0.9977207245525234,1.898808964431233e-05,2.221908957338968e-09,0.05569898960044125,0.05571797991199452,0.00022341499766298116,0.00528975978833935,-0.0012261749562583928,0.006515934744597744,0.012730336581775026,0,6,0.17762936047545458,0.16489902389367955,8.881784197001252e-16,one_pretraining_trajectory,False
step64,1,prose_facts,2,0.5,0.6274457637165065,0.000908200431707009,0.9981864336158236,1.0075977771027361e-05,9.246635237032548e-09,0.25669500859278316,0.2567050938171894,3.3395376697422815e-05,0.003428884599007089,-0.0008125009676858529,0.004241385566692941,0.007914994567198463,1,2,0.18301805928499923,0.17510306471780077,6.661338147750939e-16,one_pretraining_trajectory,False
step64,1,bracket_dictionary,3,0.5,0.6276224934699561,0.0011550069107319095,0.9976964277216693,1.1652760742189057e-05,6.771404030492733e-09,0.2575368996860968,0.257548559218243,9.243412120734905e-05,0.0038309501572625516,-0.00086610673402031,0.0046970568912828616,0.02457312361345501,4,2,0.20863682375679093,0.18406370014333592,6.661338147750939e-16,one_pretraining_trajectory,False
step512,2,compact_cards,0,0.5,0.7023362333524796,0.012560164446191407,0.9750985299728986,0.0006548342363432915,3.261548335876153e-05,0.42888648701235876,0.4295739367320608,0.0015282555666259032,0.00295795184585117,-0.0011133559766983497,0.0040713078225495195,0.035328381729044345,2,5,0.13415256201459264,0.09882418028554829,3.885780586188048e-16,one_pretraining_trajectory,False
step512,2,line_records,1,0.5,0.655978093795671,0.018231247775284752,0.9638888465899895,0.001009491962543445,8.519453509121037e-05,0.3469726545037178,0.34806734100135245,0.002507518802240094,0.006338698900587956,-0.004157698367690784,0.010496397268278737,0.03209844433725448,4,2,0.21191332708015037,0.1798148827428959,6.036837696399289e-16,one_pretraining_trajectory,False
step512,2,prose_facts,2,0.5,0.5276906156942954,0.03022360326809499,0.9404909689967849,0.0029001316419533293,3.361268178535039e-05,0.11195651806806725,0.11489026239180593,0.0020874958599178565,0.01840623999372034,-0.004601776700002862,0.023008016693723203,0.015975291027196553,4,2,0.23232127336678438,0.21634598233958782,5.551115123125783e-16,one_pretraining_trajectory,False
step512,2,bracket_dictionary,3,0.50390625,0.5158278021126343,0.0028930203031964545,0.9942346217412014,6.09770457561638e-05,3.95701769708003e-06,0.037356048420614095,0.03742098248406734,0.0028092614749240805,0.00046754659918693564,-0.00022281829850069428,0.0006903648976876288,0.07683404401841545,4,5,0.28058975586241786,0.2037557118440024,6.106226635438361e-16,one_pretraining_trajectory,False
step1000,3,compact_cards,0,0.53125,0.5148677765836925,0.05138016352261338,0.9002253627724526,0.008706208495095388,8.181913551078151e-05,0.12072216276432625,0.12951019039493242,0.004674631945504437,0.039463080939607376,-0.005126731913481701,0.044589812853089085,0.03860018199090143,4,5,0.12349770213605443,0.084897520145153,6.106226635438361e-16,one_pretraining_trajectory,False
step1000,3,line_records,1,0.62890625,0.4615766190301852,0.05588014688250764,0.8921551106211394,0.013638689067121231,3.3371444336182455e-05,0.017326066927773654,0.03099812743923107,0.00307677115896955,0.040306625526342725,-0.0038592628536918997,0.044165888380034615,0.07301525233911574,4,3,0.2562505664339622,0.18323531409484647,6.106226635438361e-16,one_pretraining_trajectory,False
step1000,3,prose_facts,2,0.5390625,0.4991911077131874,0.02088686604927413,0.9587105130942575,0.0013520145027534132,7.548959825551737e-06,0.03831213886953844,0.0396717023321174,0.0033063153499439226,0.015351287273251833,0.0010405775644068,0.01431070970884503,0.03777214540868232,3,6,0.21572905323997932,0.177956907831297,6.106226635438361e-16,one_pretraining_trajectory,False
step1000,3,bracket_dictionary,3,0.640625,0.4950952319132473,0.06601793746108287,0.8876385555592128,0.00866063205148174,0.00031680278035284797,0.09357447343544714,0.10255190826728174,0.019373151187919154,0.12772511221474597,-0.02633085289006092,0.1540559651048069,0.17518232849096416,3,1,0.3753865614224565,0.20020423293149237,6.106226635438361e-16,one_pretraining_trajectory,False
step4000,4,compact_cards,0,0.5,0.6418166524383544,0.0458347541930985,0.9109249028391275,0.00576179242404555,6.186841568996637e-05,0.3668847411978457,0.3727084020375812,0.0037898110530739633,0.04421988924149487,0.0029798609997949265,0.04124002824169994,0.019124332349829395,4,0,0.08804122677281309,0.0689168944229837,5.329070518200751e-15,one_pretraining_trajectory,False
step4000,4,line_records,1,0.5,0.6487459645620832,0.048217149357862636,0.9060552803257553,0.005972432476556924,8.62257555259881e-05,0.38537799056632815,0.39143664879841106,0.0027803395060286094,0.03422041181010754,-0.00026901930260940597,0.03448943111271695,0.03755975805702136,4,3,0.1805521294051487,0.14299237134812734,6.217248937900877e-15,one_pretraining_trajectory,False
step4000,4,prose_facts,2,0.57421875,0.5047208267701102,0.09409394111634388,0.8215511907752029,0.025391578321447648,0.0002349382320240756,0.16226394621154583,0.18789046276501756,0.012068703050503195,0.09004876571613532,-0.0026998453093922134,0.09274861102552753,0.023633887221062036,3,0,0.11836490389545537,0.09473101667439333,4.884981308350689e-15,one_pretraining_trajectory,False
step4000,4,bracket_dictionary,3,0.71484375,0.3793870268271504,0.17622178220671925,0.6818228409164243,0.04816993983111796,0.0008416598676530985,0.027939613039105526,0.07695121273787658,0.014911036709352565,0.18577546717598625,-0.03724945874282577,0.223024925918812,0.14458236778453054,2,0,0.2592851938572674,0.11470282607273684,5.329070518200751e-15,one_pretraining_trajectory,False
step16000,5,compact_cards,0,0.60546875,0.4504579592603661,0.10493452944624976,0.8031391541947421,0.027711823434906673,0.000616284920175567,0.06944865597090777,0.09777676432599,0.004446658843552887,0.10946516280237745,-0.014696089028450932,0.12416125183082838,0.031078784387367497,4,0,0.12575486558396154,0.09467608119659404,1.7763568394002505e-14,one_pretraining_trajectory,False
step16000,5,line_records,1,0.6484375,0.4349631138796102,0.09696570631237254,0.8162776198465801,0.020757060726327124,0.0007742513363184178,0.03211729584999469,0.05364860791264023,0.01110952183966255,0.08590310360192646,-0.01474951171696971,0.10065261531889616,0.034089920396545154,4,3,0.18379973003535205,0.1497098096388069,2.042810365310288e-14,one_pretraining_trajectory,False
step16000,5,prose_facts,2,0.62890625,0.4609651807883835,0.08763907331330853,0.833375985803279,0.02102604650404414,0.0002541765681163173,0.06727415270132758,0.08855437577348804,0.016361808043185547,0.056083803452547536,-0.005233052961800419,0.06131685641434795,0.009778812700159817,4,5,0.1426187590581522,0.13283994635799237,9.769962616701378e-15,one_pretraining_trajectory,False
step16000,5,bracket_dictionary,3,0.63671875,0.4476506841882092,0.10877704413195255,0.7959004538399983,0.029393007439918864,0.0005204018188824667,0.06948750527761877,0.0994009145364201,0.03577586234614148,0.11418031336075495,-0.015713502794495286,0.12989381615525025,0.11828748588235573,2,0,0.22616173625237856,0.10787425037002284,1.0658141036401503e-14,one_pretraining_trajectory,False
step64000,6,compact_cards,0,0.51171875,0.5725614643516147,0.09483670552808454,0.8205891093550417,0.026962192577263865,0.0004483231311108987,0.297123303639813,0.32453381934818776,0.0056261396002090566,0.09358523522914884,-0.004195025663671147,0.09778026089281998,0.046762846317949386,4,0,0.1461834097101418,0.09942056339219241,6.217248937900877e-15,one_pretraining_trajectory,False
step64000,6,line_records,1,0.51171875,0.5841569404654913,0.060441649552190835,0.8832940345887784,0.012441152405481841,0.0006073670278983565,0.27197132690882386,0.28501984634220406,0.008891815015155156,0.06976531906014798,-0.010659279155127191,0.08042459821527517,0.0797670651427135,4,3,0.3070020757886323,0.2272350106459188,6.328271240363392e-15,one_pretraining_trajectory,False
step64000,6,prose_facts,2,0.6171875,0.4690589769627573,0.11518496852082218,0.7838769024844706,0.038691903246786126,0.0015486589829606153,0.11400048921129721,0.15424105144104394,0.01376198620105719,0.11748939389083946,-0.022840415718887282,0.14032980960972674,0.03987460775575813,4,6,0.23575299093841803,0.1958783831826599,5.995204332975845e-15,one_pretraining_trajectory,False
step64000,6,bracket_dictionary,3,0.5,0.6214946141677333,0.07549729084304022,0.8571154174996887,0.022804944099176886,0.0001947714938673127,0.36287409524273373,0.38587381083577793,0.01755277778504302,0.08195703543583384,-0.007465735995539357,0.0894227714313732,0.0910143260963276,2,0,0.21348947308845745,0.12247514699212984,5.329070518200751e-15,one_pretraining_trajectory,False
step143000,7,compact_cards,0,0.53515625,0.5099458288736805,0.0767419626370242,0.8566188962628477,0.028144333672544465,0.001140403071140112,0.13398802474082866,0.16327276148451325,0.016096176849217488,0.03354611517830389,-0.00668143050071732,0.040227545679021204,0.13342761421112673,4,1,0.2696264995990853,0.13619888538795857,3.3306690738754696e-15,one_pretraining_trajectory,False
step143000,7,line_records,1,0.53125,0.5073092648518241,0.06992780226130559,0.8674169413972864,0.011835602369453475,0.0012107029179507843,0.1341552830189577,0.14720158830636196,0.00961651144269999,0.011729875543834836,-0.010869922578990334,0.02259979812282517,0.18400237601656136,5,4,0.32473286511011823,0.14073048909355687,3.219646771412954e-15,one_pretraining_trajectory,False
step143000,7,prose_facts,2,0.54296875,0.5034213788499501,0.03459452181188032,0.9327996501171998,0.00481862095338262,0.0010393750505758264,0.06818511157874196,0.07404310758270041,0.01837534151696331,0.003362527989777285,0.0034213043087762407,-5.87763189989545e-05,0.08772625058842468,4,1,0.3124128177708212,0.22468656718239652,3.3861802251067274e-15,one_pretraining_trajectory,False
step143000,7,bracket_dictionary,3,0.5625,0.48564914079889726,0.08679917920471521,0.8350241700155902,0.024988018757901548,0.0006033590907003555,0.11068273373360249,0.1362741115822044,0.011809395369538843,0.04889243529179629,-0.007966055838704132,0.05685849113050041,0.12537721569627477,5,2,0.15787493614290804,0.03249772044663326,2.220446049250313e-15,one_pretraining_trajectory,False
