revision,revision_index,template_id,template_index,layer,closure_max_abs,closure_relative_sensitivity_max,component_scale_max_abs,n_episode_rows,independent_pretraining_trajectories,delta_h_norm_mean,delta_attention_norm_mean,delta_ffn_norm_mean,delta_post_norm_mean,delta_skip_attention_norm_mean
step0,0,compact_cards,0,0,1.5265566588595902e-16,4.775052160455772e-15,0.05619048282401565,256,1,0.0,0.31438340853350544,0.0,0.31438340853350544,0.31438340853350544
step0,0,compact_cards,0,1,3.0531133177191805e-16,2.388066283463404e-15,0.23069313539650965,256,1,0.31438340853350544,0.42198543759936974,0.3384370626126314,0.6323873377424425,0.534316866239033
step0,0,compact_cards,0,2,3.191891195797325e-16,1.9633142284455803e-15,0.31446550268127976,256,1,0.6323873377424425,0.46491172658814556,0.47288152600384975,0.9193700482294442,0.791790712845134
step0,0,compact_cards,0,3,3.3306690738754696e-16,1.6608108567612392e-15,0.40903202664377925,256,1,0.9193700482294442,0.49285756623453614,0.5310808413768776,1.1776007526696803,1.050025443088726
step0,0,compact_cards,0,4,3.3306690738754696e-16,1.385733701357545e-15,0.4595980852700537,256,1,1.1776007526696803,0.4972490963714388,0.602512651730565,1.3875768197150693,1.266400694708226
step0,0,compact_cards,0,5,3.9898639947466563e-16,1.3919329963184581e-15,0.5853289411271132,256,1,1.3875768197150693,0.5157884759507901,0.653109864488486,1.6111192713702351,1.48518443211221
step0,0,line_records,1,0,1.474514954580286e-16,6.177047382840681e-15,0.05043994076570239,256,1,0.0,0.24195953004043097,0.0,0.24195953004043097,0.24195953004043097
step0,0,line_records,1,1,4.440892098500626e-16,5.874326553079463e-15,0.18566615743671272,256,1,0.24195953004043097,0.3312142673555387,0.26357572859821526,0.4931108974812486,0.4135485052798055
step0,0,line_records,1,2,3.608224830031759e-16,2.647162069656626e-15,0.2797877941633622,256,1,0.4931108974812486,0.36468781566987774,0.36656831887189373,0.7160584428200552,0.6212357218851247
step0,0,line_records,1,3,3.3306690738754696e-16,2.368047583637297e-15,0.3584868054971601,256,1,0.7160584428200552,0.36937059513196446,0.4196505634062348,0.9090281240422379,0.8064187256927167
step0,0,line_records,1,4,3.3306690738754696e-16,2.393535002939177e-15,0.4592970143253353,256,1,0.9090281240422379,0.3866883373043209,0.45365442807502854,1.0851356402024972,0.9877302483544491
step0,0,line_records,1,5,3.191891195797325e-16,2.2448499046576783e-15,0.5283977750605476,256,1,1.0851356402024972,0.3988212199471721,0.5046302219714004,1.2605181450705576,1.1512600563394215
step0,0,prose_facts,2,0,1.6002824065886045e-16,6.840991284859332e-15,0.041258509626660125,256,1,0.0,0.2065305209285222,0.0,0.2065305209285222,0.2065305209285222
step0,0,prose_facts,2,1,2.7755575615628914e-16,3.270522238187262e-15,0.12364314174568122,256,1,0.2065305209285222,0.24887429689056023,0.21747876984965578,0.3910283458083891,0.3225051386219948
step0,0,prose_facts,2,2,3.3306690738754696e-16,2.9382281847288763e-15,0.19761017373543674,256,1,0.3910283458083891,0.2590802095760282,0.2880607060923756,0.5517518935553498,0.470942361745911
step0,0,prose_facts,2,3,3.3306690738754696e-16,2.4811932527758376e-15,0.23397027069790519,256,1,0.5517518935553498,0.26748908784684694,0.31408761024349563,0.6858112186447275,0.6148354728164113
step0,0,prose_facts,2,4,4.163336342344337e-16,2.3505777121963024e-15,0.2638713153008329,256,1,0.6858112186447275,0.25958363983421534,0.34590814655163393,0.7938792796079474,0.7283877614488752
step0,0,prose_facts,2,5,3.3306690738754696e-16,2.1480049740636762e-15,0.29629644239400443,256,1,0.7938792796079474,0.2613884421626658,0.3580837895216631,0.904520176592662,0.8332481141184529
step0,0,bracket_dictionary,3,0,1.5265566588595902e-16,4.3960459889031726e-15,0.06515888971413777,256,1,0.0,0.31082765820149566,0.0,0.31082765820149566,0.31082765820149566
step0,0,bracket_dictionary,3,1,3.191891195797325e-16,2.1156171226764398e-15,0.1769538701732547,256,1,0.31082765820149566,0.3786420572435763,0.32049864020492735,0.5912171582358497,0.4929934968613493
step0,0,bracket_dictionary,3,2,3.3306690738754696e-16,2.2263307604483557e-15,0.2774639889297098,256,1,0.5912171582358497,0.39210102784616613,0.42061009888936585,0.8310615600387381,0.7115549141364926
step0,0,bracket_dictionary,3,3,3.885780586188048e-16,1.8479367521373654e-15,0.3833485941510273,256,1,0.8310615600387381,0.4226455133127718,0.449491605493304,1.0461838160084858,0.9370084941240995
step0,0,bracket_dictionary,3,4,4.440892098500626e-16,2.0900541808849786e-15,0.513506985002025,256,1,1.0461838160084858,0.4222149987745599,0.49066003648187423,1.2356670693973486,1.131442415795472
step0,0,bracket_dictionary,3,5,4.996003610813204e-16,2.040813903963706e-15,0.4997939891090504,256,1,1.2356670693973486,0.42686123920977326,0.5150964421122171,1.3887910150438407,1.300882243554431
step64,1,compact_cards,0,0,1.457167719820518e-16,4.91257146677347e-15,0.056369262264839994,256,1,0.0,0.3074889719954931,0.0,0.3074889719954931,0.3074889719954931
step64,1,compact_cards,0,1,4.0245584642661925e-16,2.9318232147165108e-15,0.22406821943044908,256,1,0.3074889719954931,0.41265882033509205,0.30473037637957173,0.6094441369033426,0.5235987927467682
step64,1,compact_cards,0,2,4.440892098500626e-16,2.9303775265987845e-15,0.27555650189437814,256,1,0.6094441369033426,0.40159181427551927,0.3608812152249012,0.8229051209827305,0.7407051133128526
step64,1,compact_cards,0,3,6.106226635438361e-16,3.8921645524294104e-15,0.3020527634372485,256,1,0.8229051209827305,0.3013938777567601,0.3324059532378869,0.955751662874373,0.8856781960328941
step64,1,compact_cards,0,4,6.661338147750939e-16,4.832601806559519e-15,0.3388281177746154,256,1,0.955751662874373,0.2611456883342519,0.2863984067065464,1.038834229075369,0.9910067578591195
step64,1,compact_cards,0,5,7.216449660063518e-16,5.117264984303045e-15,0.35333636409762215,256,1,1.038834229075369,0.2195624296744476,0.23315337710876685,1.1032720056271192,1.065744662164764
step64,1,line_records,1,0,1.3877787807814457e-16,6.10758699888757e-15,0.04832997060325147,256,1,0.0,0.23613428095080014,0.0,0.23613428095080008,0.23613428095080014
step64,1,line_records,1,1,3.885780586188048e-16,4.655539711997972e-15,0.1702143291249418,256,1,0.23613428095080008,0.3037114199565247,0.23311463430993756,0.4542480563163893,0.3883231490685993
step64,1,line_records,1,2,3.885780586188048e-16,3.665111945610519e-15,0.2289902199684448,256,1,0.4542480563163893,0.29437100912640923,0.25800895094012966,0.5977476927874215,0.5479881163992748
step64,1,line_records,1,3,6.245004513516506e-16,5.7739185270426e-15,0.262032422312252,256,1,0.5977476927874215,0.20967550241881258,0.2317041353671786,0.6748223968137552,0.6329007716784962
step64,1,line_records,1,4,6.661338147750939e-16,7.802379187846635e-15,0.28742979411181874,256,1,0.6748223968137552,0.18970005366921566,0.19157418307293198,0.7332263611493505,0.7042172135559938
step64,1,line_records,1,5,8.881784197001252e-16,1.2544262671849767e-14,0.31056279591413344,256,1,0.7332263611493505,0.15191507412559457,0.15871336545316891,0.7647433541811338,0.7461218486437124
step64,1,prose_facts,2,0,1.4224732503009818e-16,5.92756941683137e-15,0.04181433356730657,256,1,0.0,0.2071680588756335,0.0,0.2071680588756335,0.2071680588756335
step64,1,prose_facts,2,1,3.885780586188048e-16,5.13104143493872e-15,0.11446165909884887,256,1,0.2071680588756335,0.23641442798774803,0.20647321931743068,0.3783587487272509,0.3143979227096204
