term,kind,endpoint,contrast,n_pairs,paired_seeds,estimate,standard_deviation,standardized_paired_effect,confidence_level,interval_method,n_resamples,rng_seed,ci_lower,ci_upper,endpoint_family
width,main,normalized_rank,marginal high-minus-low,10,"[0,1,2,3,4,5,6,7,8,9]",-0.029759550467133522,0.010875009576048528,-2.736507978133363,0.95,paired-seed-percentile-bootstrap,20000,20260815,-0.035890549644827845,-0.023109353706240655,trajectory_normalized_rank
load,main,normalized_rank,marginal high-minus-low,10,"[0,1,2,3,4,5,6,7,8,9]",0.1403662871569395,0.041665739396112254,3.3688658641693707,0.95,paired-seed-percentile-bootstrap,20000,20260815,0.11522162720561027,0.1635506000276655,trajectory_normalized_rank
heads,main,normalized_rank,marginal high-minus-low,10,"[0,1,2,3,4,5,6,7,8,9]",-0.04913146756589413,0.011875753430448667,-4.137124255200871,0.95,paired-seed-percentile-bootstrap,20000,20260815,-0.05641021461226046,-0.04252829251810909,trajectory_normalized_rank
ffn,main,normalized_rank,marginal high-minus-low,10,"[0,1,2,3,4,5,6,7,8,9]",0.027965587005019187,0.018657428974958177,1.4988982159628923,0.95,paired-seed-percentile-bootstrap,20000,20260815,0.01724367358721793,0.03896662548184393,trajectory_normalized_rank
heads:load,interaction,normalized_rank,marginal difference-in-differences,10,"[0,1,2,3,4,5,6,7,8,9]",-0.05861112400889397,0.04326657949666168,-1.3546512040180163,0.95,paired-seed-percentile-bootstrap,20000,20260815,-0.08491616148501635,-0.03433243317529568,trajectory_normalized_rank
heads:width,interaction,normalized_rank,marginal difference-in-differences,10,"[0,1,2,3,4,5,6,7,8,9]",-0.01965959891676903,0.025774621333263036,-0.762750251985182,0.95,paired-seed-percentile-bootstrap,20000,20260815,-0.03426073268055915,-0.004112733453512234,trajectory_normalized_rank
ffn:load,interaction,normalized_rank,marginal difference-in-differences,10,"[0,1,2,3,4,5,6,7,8,9]",0.023436542600393295,0.04217126939263976,0.5557466715593751,0.95,paired-seed-percentile-bootstrap,20000,20260815,-0.0018087252974510193,0.0476502049900591,trajectory_normalized_rank
width,main,embedding_coherence,marginal high-minus-low,10,"[0,1,2,3,4,5,6,7,8,9]",-0.1865533024072647,0.02477758235754936,-7.529116429328493,0.95,paired-seed-percentile-bootstrap,20000,20260815,-0.2012460765056312,-0.17228047877550126,mechanism_embedding_coherence
load,main,embedding_coherence,marginal high-minus-low,10,"[0,1,2,3,4,5,6,7,8,9]",0.11815208047628403,0.03139661609939091,3.7632106626476913,0.95,paired-seed-percentile-bootstrap,20000,20260815,0.09988045917823911,0.13656184528023002,mechanism_embedding_coherence
heads,main,embedding_coherence,marginal high-minus-low,10,"[0,1,2,3,4,5,6,7,8,9]",0.022316473722457885,0.022978806088975096,0.9711763803588129,0.95,paired-seed-percentile-bootstrap,20000,20260815,0.009988066125661136,0.03698909560218453,mechanism_embedding_coherence
ffn,main,embedding_coherence,marginal high-minus-low,10,"[0,1,2,3,4,5,6,7,8,9]",-0.009772221744060516,0.021969219042249532,-0.44481425239865474,0.95,paired-seed-percentile-bootstrap,20000,20260815,-0.02309744292870164,0.002522995714098204,mechanism_embedding_coherence
heads:load,interaction,embedding_coherence,marginal difference-in-differences,10,"[0,1,2,3,4,5,6,7,8,9]",0.009335023164749146,0.04451581438836977,0.20970127791682097,0.95,paired-seed-percentile-bootstrap,20000,20260815,-0.016268550679087626,0.03572924137115476,mechanism_embedding_coherence
heads:width,interaction,embedding_coherence,marginal difference-in-differences,10,"[0,1,2,3,4,5,6,7,8,9]",0.007281467318534851,0.06103176418172029,0.11930619106559817,0.95,paired-seed-percentile-bootstrap,20000,20260815,-0.030697784833610058,0.041370272636413574,mechanism_embedding_coherence
ffn:load,interaction,embedding_coherence,marginal difference-in-differences,10,"[0,1,2,3,4,5,6,7,8,9]",-0.01295720636844635,0.05412791144414216,-0.23938123645908024,0.95,paired-seed-percentile-bootstrap,20000,20260815,-0.04288355112075805,0.020709550753235793,mechanism_embedding_coherence
