width,load,step,site,site_order,n_seeds,architectures_per_seed,sampling_unit,global_cosine_mean,global_cosine_standard_deviation,global_cosine_ci_lower,global_cosine_ci_upper,target_selectivity_mean,target_selectivity_standard_deviation,target_selectivity_ci_lower,target_selectivity_ci_upper,participation_rank_normalized_mean,participation_rank_normalized_standard_deviation,participation_rank_normalized_ci_lower,participation_rank_normalized_ci_upper
8,1,0,input_embeddings,0,10,4,training_seed,0.17732056735549123,0.0815392725825637,0.12972388519032393,0.22580755453091114,0.26631376445293425,0.055381623615197675,0.23340991225093605,0.29904141115024685,0.29841955900192263,0.013835271183144161,0.29010189820081,0.306227608025074
8,1,0,l0.post_attention_residual,1,10,4,training_seed,0.35008022990077736,0.09762097719842593,0.29333670453168453,0.4067522831261158,0.1919401166960597,0.048120238990242835,0.1642955667153001,0.2206422548741102,0.28892706856131556,0.014817142145078281,0.27969674227759245,0.2971357780322432
8,1,0,l0.post_ffn_residual,2,10,4,training_seed,0.34756218710390385,0.08780768986804485,0.29945111483335496,0.40220684179883376,0.16976220356300473,0.04691881554742289,0.14389144678134472,0.19862570946337654,0.28042256012558936,0.008462791901375066,0.2759822824411094,0.28583161905407906
8,1,0,l1.post_attention_residual,3,10,4,training_seed,0.4640654422342777,0.12215134743494546,0.3939915626682341,0.5374172262847423,0.12698588371276856,0.03235261798954387,0.10805100560653955,0.1458645594725385,0.27294169180095196,0.01389178536848608,0.26503240829333663,0.28123262100853025
8,1,0,l1.post_ffn_residual,4,10,4,training_seed,0.46612694934010507,0.13001758225566937,0.386828313888982,0.5386399564705788,0.12276837099343538,0.02840989214667228,0.1066152810305357,0.14016675734892486,0.268630276620388,0.01332651198784968,0.26086347810924054,0.27631932918913665
8,1,800,input_embeddings,0,10,4,training_seed,0.11950158677063882,0.056278968908118954,0.08983514686115086,0.15565142130944878,0.46379695907235147,0.043147562446337946,0.43832718949764965,0.48888662522658705,0.28973080590367317,0.011131614039272767,0.2837972164712846,0.29670087048783894
8,1,800,l0.post_attention_residual,1,10,4,training_seed,0.16730026677250862,0.04547239235304316,0.14063860673224554,0.1935155379585922,0.5160009123384952,0.06771407741042318,0.47713005322963,0.5565655288472772,0.24558105878531933,0.021112684155924846,0.23266492035239936,0.25748352763243015
8,1,800,l0.post_ffn_residual,2,10,4,training_seed,0.17652926510199904,0.06708763325640701,0.13720189103623853,0.21624338139081373,0.5096773311495781,0.052838977323362006,0.4775542919524014,0.5393857679143547,0.241293266415596,0.023970796876474507,0.22659900478087366,0.25465312562882897
8,1,800,l1.post_attention_residual,3,10,4,training_seed,0.2597195990383625,0.08782811113951679,0.2084690771345049,0.3116926073376089,0.5647143840789794,0.11732763337880997,0.495989850088954,0.6336123876273632,0.19347706399857997,0.022792105854308988,0.17993254679255188,0.2065785265341401
8,1,800,l1.post_ffn_residual,4,10,4,training_seed,0.26464784536510705,0.09888662206630491,0.21080520135350525,0.32855656874366107,0.5929344061762094,0.13921678747651178,0.509840342272073,0.6743935026228428,0.1708081688731909,0.016486425974749898,0.1616295532695949,0.1809406371973455
8,4,0,input_embeddings,0,10,4,training_seed,0.17620944008231162,0.04396285834531004,0.15064643770456315,0.2020843470096588,0.2898980423808098,0.04868172442378538,0.2615612797997892,0.31788582222536205,0.3010670840740204,0.013648721813969377,0.2930817114561796,0.30898507080972193
8,4,0,l0.post_attention_residual,1,10,4,training_seed,0.34993891827762125,0.06595175122935748,0.3118462727125734,0.3899773128982633,0.214719476737082,0.045686698283889805,0.18794317058753224,0.24167432170361278,0.29260739013552667,0.009525518671799503,0.28712516725063325,0.29831723276525735
8,4,0,l0.post_ffn_residual,2,10,4,training_seed,0.36793324872851374,0.07417170635969737,0.3244631800055504,0.4115999332815409,0.20320810619741678,0.04957947208252697,0.17412442719563842,0.23259248085785658,0.2839513264596462,0.016484773775618102,0.27404954805970194,0.2933750733919442
8,4,0,l1.post_attention_residual,3,10,4,training_seed,0.4496455792337656,0.10853989536309867,0.38846434019505977,0.5150698997080326,0.16539597567170858,0.04684017264469208,0.1388812427967787,0.19428740175440906,0.27736710123717784,0.01011458950547684,0.271713158134371,0.28363092069514095
8,4,0,l1.post_ffn_residual,4,10,4,training_seed,0.4647894315421581,0.10472417156351765,0.40618024716153744,0.5285550066735595,0.155488873552531,0.04636332781218081,0.12932131218956783,0.18321233655791716,0.2701357524842024,0.011834351063798373,0.26265878101810813,0.27667346083559097
8,4,800,input_embeddings,0,10,4,training_seed,0.13113703997805715,0.03499580584352129,0.11033150911331177,0.1516391194774769,0.48915788531303406,0.08043174259124529,0.4421433546766639,0.5353274000249802,0.29894215539097785,0.01092478750909758,0.2922956949286163,0.30511286877095695
8,4,800,l0.post_attention_residual,1,10,4,training_seed,0.16649609876330942,0.05283421260591627,0.13731966676539742,0.19896252043545246,0.554842920228839,0.1096538624382076,0.49339194964617494,0.6222938425652682,0.2506093341857195,0.030607165589909648,0.23197243952192367,0.26780981697142126
8,4,800,l0.post_ffn_residual,2,10,4,training_seed,0.12340830420143903,0.06294201134934553,0.09034234227146955,0.16283999183040562,0.6203544609248638,0.09031148311867583,0.5703772021271288,0.6747184258140624,0.24087021499872208,0.030463879353621232,0.22285580105148256,0.25845733008347455
8,4,800,l1.post_attention_residual,3,10,4,training_seed,0.1586460644379258,0.06131228962899267,0.1267123246472329,0.19776064546313135,0.760149335116148,0.11982816692531018,0.68730045940727,0.8261672201752662,0.1723100308328867,0.008662393622621611,0.1675560509227216,0.17766333815641702
8,4,800,l1.post_ffn_residual,4,10,4,training_seed,0.19372942075133323,0.06234031367831074,0.15947162988595665,0.23199957353994244,0.7620510421693325,0.11694397069584851,0.6921529668755829,0.8280148172751068,0.15398632995784284,0.00649853828181959,0.15016755013726651,0.1576868048403412
32,1,0,input_embeddings,0,10,4,training_seed,0.1929503433406353,0.039398481980806734,0.16934864623472096,0.21554821668192745,0.2820298790931702,0.02206512317649447,0.27011873953044413,0.2960363980382681,0.09256987273693085,0.0028801306233207434,0.09085329435765743,0.09421834941022098
32,1,0,l0.post_attention_residual,1,10,4,training_seed,0.5494360275566578,0.04648302048063815,0.5224867116846144,0.5768478131666779,0.12325785122811794,0.016391484095497257,0.11373064331710339,0.1328896848997101,0.08137208800762892,0.0036581694638895537,0.07911883239168674,0.08339410291984677
32,1,0,l0.post_ffn_residual,2,10,4,training_seed,0.5580864168703557,0.04071263960642178,0.5351731061935425,0.5826100500300527,0.11291525103151798,0.01614585021427659,0.10371430558618158,0.12251159586943686,0.08177182655781508,0.0034399056747594354,0.07967611129395663,0.08370723379775882
