study_id,cell_id,cell_index,cell_key,seed,num_concepts,memory_size,d_model,width,load,num_layers,num_heads,heads,ffn_width,ffn,optimizer,learning_rate,configured_steps,batch_size,step,loss,mse,risk,accuracy,value_flip_effect,target_key_effect,embedding_effective_rank,normalized_rank,gate_pass,source,setting
scaling-width-load-adamw-10seeds-v1,cell-008-394e1fcba5ff,8,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.01,400,512,0,1.109715223312378,1.109715223312378,0.554857611656189,0.5350341796875,0.03279793635010719,0.0833292007446289,16.392681121826172,0.5122712850570679,False,stress,stress lr=0.01
scaling-width-load-adamw-10seeds-v1,cell-008-394e1fcba5ff,8,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.01,400,512,25,0.7709019184112549,0.7709019184112549,0.38545095920562744,0.7080078125,0.17965368926525116,0.17739200592041016,15.304594039916992,0.478268563747406,False,stress,stress lr=0.01
scaling-width-load-adamw-10seeds-v1,cell-008-394e1fcba5ff,8,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.01,400,512,50,0.024195224046707153,0.024195224046707153,0.012097612023353577,0.998779296875,0.9500240087509155,0.9472198486328125,10.861576080322266,0.3394242525100708,True,stress,stress lr=0.01
scaling-width-load-adamw-10seeds-v1,cell-008-394e1fcba5ff,8,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.01,400,512,100,0.0009170814882963896,0.0009170814882963896,0.0004585407441481948,1.0,0.9968606233596802,0.9941786527633667,10.34346866607666,0.32323339581489563,True,stress,stress lr=0.01
scaling-width-load-adamw-10seeds-v1,cell-008-394e1fcba5ff,8,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.01,400,512,200,0.00041697456617839634,0.00041697456617839634,0.00020848728308919817,1.0,0.9989646077156067,0.9964922070503235,10.29764461517334,0.32180139422416687,True,stress,stress lr=0.01
scaling-width-load-adamw-10seeds-v1,cell-008-394e1fcba5ff,8,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.01,400,512,400,0.00017788483819458634,0.00017788483819458634,8.894241909729317e-05,1.0,0.999957799911499,0.9970538020133972,10.210659980773926,0.3190831243991852,True,stress,stress lr=0.01
scaling-plateau-remedy-pilot-v1,cell-000-afc487ff73f2,0,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.003,1600,512,0,1.109715223312378,1.109715223312378,0.554857611656189,0.5350341796875,0.03279793635010719,0.0833292007446289,16.392681121826172,0.5122712850570679,False,remedy,remedy lr=0.003
scaling-plateau-remedy-pilot-v1,cell-000-afc487ff73f2,0,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.003,1600,512,50,0.09300258755683899,0.09300258755683899,0.046501293778419495,0.9886474609375,0.9222188591957092,0.9228058457374573,13.484225273132324,0.42138203978538513,True,remedy,remedy lr=0.003
scaling-plateau-remedy-pilot-v1,cell-000-afc487ff73f2,0,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.003,1600,512,100,0.0017616762779653072,0.0017616762779653072,0.0008808381389826536,1.0,1.0052411556243896,1.0051926374435425,12.433959007263184,0.3885612189769745,True,remedy,remedy lr=0.003
scaling-plateau-remedy-pilot-v1,cell-000-afc487ff73f2,0,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.003,1600,512,200,0.00035501166712492704,0.00035501166712492704,0.00017750583356246352,1.0,1.000869870185852,1.0020439624786377,12.355886459350586,0.3861214518547058,True,remedy,remedy lr=0.003
scaling-plateau-remedy-pilot-v1,cell-000-afc487ff73f2,0,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.003,1600,512,400,0.0001103642862290144,0.0001103642862290144,5.51821431145072e-05,1.0,0.9999562501907349,1.0022292137145996,12.311117172241211,0.38472241163253784,True,remedy,remedy lr=0.003
scaling-plateau-remedy-pilot-v1,cell-000-afc487ff73f2,0,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.003,1600,512,800,4.190183972241357e-05,4.190183972241357e-05,2.0950919861206785e-05,1.0,0.999531626701355,1.0013351440429688,12.265911102294922,0.3833097219467163,True,remedy,remedy lr=0.003
scaling-plateau-remedy-pilot-v1,cell-000-afc487ff73f2,0,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.003,1600,512,1200,2.3612667064298876e-05,2.3612667064298876e-05,1.1806333532149438e-05,1.0,0.9998118281364441,1.0004818439483643,12.235541343688965,0.38236066699028015,True,remedy,remedy lr=0.003
scaling-plateau-remedy-pilot-v1,cell-000-afc487ff73f2,0,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.003,1600,512,1600,1.6762734958319925e-05,1.6762734958319925e-05,8.381367479159962e-06,1.0,1.0011918544769287,1.000022530555725,12.210823059082031,0.3815882205963135,True,remedy,remedy lr=0.003
scaling-plateau-remedy-pilot-v1,cell-001-ffd7f836909b,1,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.001,1600,512,0,1.109715223312378,1.109715223312378,0.554857611656189,0.5350341796875,0.03279793635010719,0.0833292007446289,16.392681121826172,0.5122712850570679,False,remedy,remedy lr=0.001
scaling-plateau-remedy-pilot-v1,cell-001-ffd7f836909b,1,C32-d32-L2-H1-m4-ffnnone,0,32,4,32,32,1,2,1,1,,False,adamw,0.001,1600,512,50,0.6360330581665039,0.6360330581665039,0.31801652908325195,0.7635498046875,0.35741135478019714,0.34484997391700745,16.068021774291992,0.5021256804466248,False,remedy,remedy lr=0.001
