study_id,cell_id,cell_key,cell_index,num_concepts,d_model,width,load,heads,ffn,ffn_width,learning_rate,step,n_seeds,seeds,loss_mean,loss_standard_deviation,loss_ci_lower,loss_ci_upper,risk_mean,risk_standard_deviation,risk_ci_lower,risk_ci_upper,accuracy_mean,accuracy_standard_deviation,accuracy_ci_lower,accuracy_ci_upper,value_flip_effect_mean,value_flip_effect_standard_deviation,value_flip_effect_ci_lower,value_flip_effect_ci_upper,target_key_effect_mean,target_key_effect_standard_deviation,target_key_effect_ci_lower,target_key_effect_ci_upper,embedding_effective_rank_mean,embedding_effective_rank_standard_deviation,embedding_effective_rank_ci_lower,embedding_effective_rank_ci_upper,normalized_rank_mean,normalized_rank_standard_deviation,normalized_rank_ci_lower,normalized_rank_ci_upper
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,C8-d8-L2-H1-m4-ffnnone,0,8,8,8,1,1,False,,0.003,0,10,0;1;2;3;4;5;6;7;8;9,1.8710249543190003,0.7562456348438616,1.454022787809372,2.32945235133171,0.9355124771595001,0.3781228174219308,0.727011393904686,1.164726175665855,0.5035888671875,0.05151207124413934,0.46927368164062505,0.52906494140625,-0.016482423525303602,0.10973067233766876,-0.08976028349949046,0.036887818854302167,-0.021017885021865367,0.09395525374525694,-0.08308884021127597,0.02570320519153028,4.087378525733948,0.316181623154073,3.8961929434537885,4.267109026908874,0.5109223157167435,0.039522702894259125,0.48702411793172357,0.5333886283636092
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,C8-d8-L2-H1-m4-ffnnone,0,8,8,8,1,1,False,,0.003,25,10,0;1;2;3;4;5;6;7;8;9,0.8627171158790589,0.05106898166306759,0.8335381199419498,0.8933583876490593,0.43135855793952943,0.025534490831533797,0.4167690599709749,0.44667919382452964,0.6560546875,0.03090408455780054,0.6369863891601563,0.67286376953125,0.1387246437370777,0.04675544725961813,0.10970887294039129,0.16425634153187268,0.11292262263596058,0.03325386765194256,0.09195368243381381,0.13084984064102173,4.000483703613281,0.29619964194279097,3.816185244321823,4.162026429176331,0.5000604629516602,0.03702495524284887,0.4770231555402279,0.5202533036470414
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,C8-d8-L2-H1-m4-ffnnone,0,8,8,8,1,1,False,,0.003,50,10,0;1;2;3;4;5;6;7;8;9,0.7442500591278076,0.04919340329334706,0.7162585158646106,0.7735891707241536,0.3721250295639038,0.02459670164667353,0.3581292579323053,0.3867945853620768,0.7133056640625,0.023083535901591245,0.699169921875,0.72626953125,0.24219267815351486,0.053205038646837996,0.21100398331880568,0.27268365055322635,0.20797643810510635,0.04983912445434125,0.17927671357989314,0.23690977577120065,3.876379919052124,0.35816611531881853,3.65945950627327,4.076239517927169,0.4845474898815155,0.04477076441485232,0.45743243828415875,0.5095299397408961
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,C8-d8-L2-H1-m4-ffnnone,0,8,8,8,1,1,False,,0.003,100,10,0;1;2;3;4;5;6;7;8;9,0.4667585641145706,0.15593727256874187,0.3771254839748144,0.5592935889959335,0.2333792820572853,0.07796863628437094,0.1885627419874072,0.27964679449796676,0.83463134765625,0.07085978187183462,0.7926263427734375,0.875341796875,0.5268358886241913,0.1648984499050537,0.42975505091249944,0.6224486579746008,0.5000770732760429,0.1783616821597539,0.39541426159441473,0.6032104015350341,3.5999948024749755,0.4994983032340489,3.31104951441288,3.8909213250875467,0.44999935030937194,0.062437287904256115,0.41388118930161,0.48636516563594334
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,C8-d8-L2-H1-m4-ffnnone,0,8,8,8,1,1,False,,0.003,200,10,0;1;2;3;4;5;6;7;8;9,0.08218639213591813,0.1290755069486774,0.015463695166399708,0.16614676748169582,0.04109319606795907,0.0645377534743387,0.007731847583199854,0.08307338374084791,0.976318359375,0.04628123285575307,0.9460693359375,0.99942626953125,0.9215882003307343,0.13601333113903902,0.8326896139979363,0.9930542930960655,0.9087123036384582,0.14261084282588696,0.8156917196512222,0.9824511609971522,3.4550540447235107,0.5661615849638314,3.1211356335878375,3.782167650461196,0.43188175559043884,0.07077019812047892,0.3901419541984797,0.4727709563076495
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,C8-d8-L2-H1-m4-ffnnone,0,8,8,8,1,1,False,,0.003,400,10,0;1;2;3;4;5;6;7;8;9,0.0022549711051397026,0.001951579321650728,0.001252478009555489,0.0035043591834255493,0.0011274855525698513,0.000975789660825364,0.0006262390047777445,0.0017521795917127747,1.0,0.0,1.0,1.0,0.9994285762310028,0.0015324714336423845,0.9984620690345765,1.000259017944336,0.9897922694683075,0.006270973232867979,0.986154899597168,0.9935128033161164,3.5116726398468017,0.5094790461964761,3.211346396803856,3.8011147063970565,0.4389590799808502,0.06368488077455951,0.401418299600482,0.47513933829963206
scaling-tuned-adamw-10seeds-v1,cell-000-b7a02ed77d52,C8-d8-L2-H1-m4-ffnnone,0,8,8,8,1,1,False,,0.003,800,10,0;1;2;3;4;5;6;7;8;9,0.00040947659363155253,0.00024421733773159673,0.00027850762926391327,0.000563193187044817,0.00020473829681577627,0.00012210866886579836,0.00013925381463195663,0.0002815965935224085,1.0,0.0,1.0,1.0,0.9998827517032624,0.001055933034277253,0.9992567476630211,1.0004815995693206,0.9917721271514892,0.005396062055091543,0.9888430774211884,0.9951872250437735,3.4957520246505736,0.507349551313612,3.1951466178894044,3.7838953518867493,0.4369690030813217,0.0634186939142015,0.39939332723617554,0.47298691898584366
scaling-tuned-adamw-10seeds-v1,cell-001-95e10abb0fde,C8-d8-L2-H4-m4-ffnnone,1,8,8,8,1,4,False,,0.003,0,10,0;1;2;3;4;5;6;7;8;9,1.786128544807434,0.8197515500851448,1.3517874628305437,2.304683172702789,0.893064272403717,0.4098757750425724,0.6758937314152719,1.1523415863513946,0.5126708984375,0.04053044032838222,0.4883538818359375,0.5364138793945312,-0.0030968427658081056,0.09622530129158541,-0.06438123167958111,0.049748052679933576,-0.007098778593353927,0.08288155343577273,-0.058026081805583066,0.03998526292853057,4.087378525733948,0.316181623154073,3.8961929434537885,4.267109026908874,0.5109223157167435,0.039522702894259125,0.48702411793172357,0.5333886283636092
scaling-tuned-adamw-10seeds-v1,cell-001-95e10abb0fde,C8-d8-L2-H4-m4-ffnnone,1,8,8,8,1,4,False,,0.003,25,10,0;1;2;3;4;5;6;7;8;9,0.8349068880081176,0.06997290296051736,0.7967786908149719,0.8789615511894227,0.4174534440040588,0.03498645148025868,0.39838934540748594,0.4394807755947113,0.66925048828125,0.03785633095177395,0.6453366088867188,0.6894662475585938,0.16377845406532288,0.060458244410891475,0.12572673343122007,0.19685327559709548,0.13504079841077327,0.05248622727277206,0.10290037365630271,0.16453743293881412,4.023599171638489,0.29302300079554405,3.8421698504686357,4.184979031085968,0.5029498964548111,0.03662787509944301,0.48027123130857946,0.523122378885746
scaling-tuned-adamw-10seeds-v1,cell-001-95e10abb0fde,C8-d8-L2-H4-m4-ffnnone,1,8,8,8,1,4,False,,0.003,50,10,0;1;2;3;4;5;6;7;8;9,0.7218988001346588,0.04866232770578314,0.6951091869175434,0.7521433685719966,0.3609494000673294,0.02433116385289157,0.3475545934587717,0.3760716842859983,0.71947021484375,0.02136702809263685,0.70621337890625,0.73118896484375,0.26878750771284105,0.050245806773651355,0.2371893997117877,0.29535649850964546,0.23413526713848115,0.05376556422594212,0.20148904472589493,0.26407371908426286,3.900544214248657,0.3529708783561294,3.6814250820875167,4.093303152322769,0.48756802678108213,0.044121359794516174,0.4601781352609396,0.5116628940403462
scaling-tuned-adamw-10seeds-v1,cell-001-95e10abb0fde,C8-d8-L2-H4-m4-ffnnone,1,8,8,8,1,4,False,,0.003,100,10,0;1;2;3;4;5;6;7;8;9,0.5358813226222991,0.08715735699362602,0.48954866603016856,0.5910357861965893,0.2679406613111496,0.04357867849681301,0.24477433301508428,0.2955178930982946,0.8079345703125,0.04131170711503503,0.78189697265625,0.8299929809570312,0.44844754636287687,0.09495359734644906,0.38959047496318816,0.5005186261236668,0.4164969027042389,0.10299870133604509,0.3522819346934557,0.47248593814671036,3.616071939468384,0.3982497576382605,3.382312600016594,3.8488017338514324,0.452008992433548,0.04978121970478256,0.42278907500207424,0.48110021673142905
