seed,n_architectures,delta_risk,delta_accuracy,delta_value_flip_effect,delta_normalized_rank
0,16,-0.03391515816554147,0.0327911376953125,0.06747244507050709,0.045000430196523666
1,16,-0.00014688423016195884,0.0,0.001155942678451538,0.07416916266083717
2,16,-0.05425260338370208,0.05072021484375,0.10732711374430437,0.045389438048005104
3,16,-7.48008119444421e-06,0.0001220703125,0.0005333311855792999,0.05963348411023617
4,16,-0.00017715912827043212,0.0001983642578125,-0.0024100467562675476,0.05715751554816961
5,16,0.0009975230159398052,-0.00052642822265625,-0.003146510571241379,0.05391786713153124
6,16,-0.0017201311629833071,0.00090789794921875,0.004779968410730362,0.07742780447006226
7,16,0.0001750426647504355,-6.866455078125e-05,0.0011545605957508087,0.04481707699596882
8,16,0.0004815350233684512,-0.0003509521484375,1.372024416923523e-05,0.05363220162689686
9,16,0.00019951992067035462,-3.0517578125e-05,-0.0015518665313720703,0.06068947724997997
