schema_version,study_id,study_config_hash,cell_id,cell_index,config_hash,seed,checkpoint_index,step,num_concepts,memory_size,d_model,num_layers,num_heads,ffn_width,optimizer,learning_rate,momentum,steps,batch_size,weight_decay,eval_batch_size,loss,accuracy,value_flip_effect,target_key_effect,embedding_effective_rank,qk_frobenius_norms,ov_frobenius_norms,checkpoint_path,snapshot_path
1,scaling-plateau-remedy-pilot-v1,0fa1373d0536cef8a84331ceb62be2cbd63758659776ebab3929f369fc74bf21,cell-000-afc487ff73f2,0,afc487ff73f297fe5f93fcb33100731c398e02659dc244977181f12776fa5543,0,0,0,32,4,32,2,1,,adamw,0.003,0.0,1600,512,0.0,8192,1.109715223312378,0.5350341796875,0.03279793635010719,0.0833292007446289,16.392681121826172,"[5.91956090927124,5.822716236114502]","[5.895805835723877,5.894156455993652]",seeds/cell-000-afc487ff73f2/seed-0/checkpoint.pt,seeds/cell-000-afc487ff73f2/seed-0/snapshots/step-000000.pt
1,scaling-plateau-remedy-pilot-v1,0fa1373d0536cef8a84331ceb62be2cbd63758659776ebab3929f369fc74bf21,cell-000-afc487ff73f2,0,afc487ff73f297fe5f93fcb33100731c398e02659dc244977181f12776fa5543,0,1,50,32,4,32,2,1,,adamw,0.003,0.0,1600,512,0.0,8192,0.09300258755683899,0.9886474609375,0.9222188591957092,0.9228058457374573,13.484225273132324,"[7.441227912902832,6.431966304779053]","[6.150623321533203,6.006898403167725]",seeds/cell-000-afc487ff73f2/seed-0/checkpoint.pt,seeds/cell-000-afc487ff73f2/seed-0/snapshots/step-000050.pt
1,scaling-plateau-remedy-pilot-v1,0fa1373d0536cef8a84331ceb62be2cbd63758659776ebab3929f369fc74bf21,cell-000-afc487ff73f2,0,afc487ff73f297fe5f93fcb33100731c398e02659dc244977181f12776fa5543,0,2,100,32,4,32,2,1,,adamw,0.003,0.0,1600,512,0.0,8192,0.0017616762779653072,1.0,1.0052411556243896,1.0051926374435425,12.433959007263184,"[8.55362606048584,6.825989723205566]","[6.330212593078613,6.286405086517334]",seeds/cell-000-afc487ff73f2/seed-0/checkpoint.pt,seeds/cell-000-afc487ff73f2/seed-0/snapshots/step-000100.pt
1,scaling-plateau-remedy-pilot-v1,0fa1373d0536cef8a84331ceb62be2cbd63758659776ebab3929f369fc74bf21,cell-000-afc487ff73f2,0,afc487ff73f297fe5f93fcb33100731c398e02659dc244977181f12776fa5543,0,3,200,32,4,32,2,1,,adamw,0.003,0.0,1600,512,0.0,8192,0.00035501166712492704,1.0,1.000869870185852,1.0020439624786377,12.355886459350586,"[8.615142822265625,6.848994255065918]","[6.37217903137207,6.436407089233398]",seeds/cell-000-afc487ff73f2/seed-0/checkpoint.pt,seeds/cell-000-afc487ff73f2/seed-0/snapshots/step-000200.pt
1,scaling-plateau-remedy-pilot-v1,0fa1373d0536cef8a84331ceb62be2cbd63758659776ebab3929f369fc74bf21,cell-000-afc487ff73f2,0,afc487ff73f297fe5f93fcb33100731c398e02659dc244977181f12776fa5543,0,4,400,32,4,32,2,1,,adamw,0.003,0.0,1600,512,0.0,8192,0.0001103642862290144,1.0,0.9999562501907349,1.0022292137145996,12.311117172241211,"[8.644021034240723,6.868535041809082]","[6.404289245605469,6.574307441711426]",seeds/cell-000-afc487ff73f2/seed-0/checkpoint.pt,seeds/cell-000-afc487ff73f2/seed-0/snapshots/step-000400.pt
1,scaling-plateau-remedy-pilot-v1,0fa1373d0536cef8a84331ceb62be2cbd63758659776ebab3929f369fc74bf21,cell-000-afc487ff73f2,0,afc487ff73f297fe5f93fcb33100731c398e02659dc244977181f12776fa5543,0,5,800,32,4,32,2,1,,adamw,0.003,0.0,1600,512,0.0,8192,4.190183972241357e-05,1.0,0.999531626701355,1.0013351440429688,12.265911102294922,"[8.672045707702637,6.896572589874268]","[6.433063507080078,6.756600856781006]",seeds/cell-000-afc487ff73f2/seed-0/checkpoint.pt,seeds/cell-000-afc487ff73f2/seed-0/snapshots/step-000800.pt
1,scaling-plateau-remedy-pilot-v1,0fa1373d0536cef8a84331ceb62be2cbd63758659776ebab3929f369fc74bf21,cell-000-afc487ff73f2,0,afc487ff73f297fe5f93fcb33100731c398e02659dc244977181f12776fa5543,0,6,1200,32,4,32,2,1,,adamw,0.003,0.0,1600,512,0.0,8192,2.3612667064298876e-05,1.0,0.9998118281364441,1.0004818439483643,12.235541343688965,"[8.693428039550781,6.920347690582275]","[6.450378894805908,6.891589164733887]",seeds/cell-000-afc487ff73f2/seed-0/checkpoint.pt,seeds/cell-000-afc487ff73f2/seed-0/snapshots/step-001200.pt
1,scaling-plateau-remedy-pilot-v1,0fa1373d0536cef8a84331ceb62be2cbd63758659776ebab3929f369fc74bf21,cell-000-afc487ff73f2,0,afc487ff73f297fe5f93fcb33100731c398e02659dc244977181f12776fa5543,0,7,1600,32,4,32,2,1,,adamw,0.003,0.0,1600,512,0.0,8192,1.6762734958319925e-05,1.0,1.0011918544769287,1.000022530555725,12.210823059082031,"[8.713907241821289,6.942337512969971]","[6.463058948516846,7.0050272941589355]",seeds/cell-000-afc487ff73f2/seed-0/checkpoint.pt,seeds/cell-000-afc487ff73f2/seed-0/snapshots/step-001600.pt
1,scaling-plateau-remedy-pilot-v1,0fa1373d0536cef8a84331ceb62be2cbd63758659776ebab3929f369fc74bf21,cell-000-afc487ff73f2,0,afc487ff73f297fe5f93fcb33100731c398e02659dc244977181f12776fa5543,2,0,0,32,4,32,2,1,,adamw,0.003,0.0,1600,512,0.0,8192,1.426095724105835,0.546142578125,0.08438791334629059,0.07014231383800507,16.096811294555664,"[5.691256046295166,5.995761871337891]","[5.431280136108398,5.322733402252197]",seeds/cell-000-afc487ff73f2/seed-2/checkpoint.pt,seeds/cell-000-afc487ff73f2/seed-2/snapshots/step-000000.pt
1,scaling-plateau-remedy-pilot-v1,0fa1373d0536cef8a84331ceb62be2cbd63758659776ebab3929f369fc74bf21,cell-000-afc487ff73f2,0,afc487ff73f297fe5f93fcb33100731c398e02659dc244977181f12776fa5543,2,1,50,32,4,32,2,1,,adamw,0.003,0.0,1600,512,0.0,8192,0.44103237986564636,0.8453369140625,0.5431238412857056,0.5551730394363403,14.842809677124023,"[6.129560470581055,6.085158348083496]","[5.5744404792785645,5.59414529800415]",seeds/cell-000-afc487ff73f2/seed-2/checkpoint.pt,seeds/cell-000-afc487ff73f2/seed-2/snapshots/step-000050.pt
