cell_index,cell_key,n_seeds,full_gate_pass_count,full_gate_pass_rate,natural_swap_mse_mean,natural_swap_mse_ci_lower,natural_swap_mse_ci_upper,natural_swap_mse_max,seeds_failing_gate
0,C8-d8-L2-H1-m4-ffnnone,10,10,1,0.00025529983395244926,0.0001660802106380288,0.00034500410292821396,0.00046189306885935366,
1,C8-d8-L2-H4-m4-ffnnone,10,8,0.8,0.0011072329245507718,0.0006422775224200451,0.001681677141023101,0.0028398092836141586,2;6
2,C32-d8-L2-H1-m4-ffnnone,10,10,1,0.0005401139933383092,0.0002769283036468551,0.0008922072505083624,0.0018741090316325426,
3,C32-d8-L2-H4-m4-ffnnone,10,0,0,0.0217541228979826,0.018263467918150127,0.02550247761420905,0.03370571881532669,0;1;2;3;4;5;6;7;8;9
4,C8-d8-L2-H1-m4-ffn16,10,10,1,0.00026498812512727455,0.0001376115584935178,0.00045865261610742873,0.0010570455342531204,
5,C8-d8-L2-H4-m4-ffn16,10,9,0.9,0.0007895233939052559,0.00031303762432798976,0.0015304033804932257,0.0038538093212991953,5
6,C32-d8-L2-H1-m4-ffn16,10,9,0.9,0.0008435804200416896,0.00018980041930262816,0.0018546743613114794,0.0049912575632333755,2
7,C32-d8-L2-H4-m4-ffn16,10,0,0,0.021427969727665187,0.01243902764748782,0.031923121220897854,0.054508812725543976,0;1;2;3;4;5;6;7;8;9
8,C32-d32-L2-H1-m4-ffnnone,10,10,1,2.5932187327271095e-05,1.890727298359707e-05,3.380678662324498e-05,5.184108158573508e-05,
9,C32-d32-L2-H4-m4-ffnnone,10,10,1,0.0003816862699750345,0.00010706002465667581,0.0006929270391810859,0.0012719938531517982,
10,C128-d32-L2-H1-m4-ffnnone,10,9,0.9,0.0005287758731356007,3.4896039323939476e-05,0.0012272296099445155,0.003482367377728224,7
11,C128-d32-L2-H4-m4-ffnnone,10,7,0.7,0.000954811974952463,0.00016009060356736882,0.0017714702613011468,0.0029794005677103996,0;5;6
12,C32-d32-L2-H1-m4-ffn64,10,10,1,2.5733444454090203e-05,2.099658127917792e-05,3.047014010007842e-05,3.8373065763153136e-05,
13,C32-d32-L2-H4-m4-ffn64,10,10,1,0.0003377383156475844,8.909751853025227e-05,0.0006665895351943615,0.00150124856736511,
14,C128-d32-L2-H1-m4-ffn64,10,10,1,0.0002139397030987311,2.5728111586431625e-05,0.0005633448902062808,0.0017551352502778172,
15,C128-d32-L2-H4-m4-ffn64,10,10,1,0.00023316965998674278,8.998094895105169e-05,0.00042948207542394743,0.0009946894133463502,
