comparison,cell_index,cell_key,seed,baseline_step,followup_step,baseline_learning_rate,followup_learning_rate,baseline_full_gate_pass,followup_full_gate_pass,gate_transition,baseline_check_base_accuracy,baseline_check_population_risk,baseline_check_value_flip_effect,baseline_check_donor_accuracy,baseline_check_natural_swap_mse,followup_check_base_accuracy,followup_check_population_risk,followup_check_value_flip_effect,followup_check_donor_accuracy,followup_check_natural_swap_mse,baseline_base_mse,followup_base_mse,delta_base_mse,baseline_donor_mse,followup_donor_mse,delta_donor_mse,baseline_swap_mse,followup_swap_mse,delta_swap_mse,baseline_walsh_distractor_direct,followup_walsh_distractor_direct,delta_walsh_distractor_direct,baseline_walsh_interaction,followup_walsh_interaction,delta_walsh_interaction,baseline_walsh_distractor_only_interaction,followup_walsh_distractor_only_interaction,delta_walsh_distractor_only_interaction,baseline_walsh_target_interaction,followup_walsh_target_interaction,delta_walsh_target_interaction,baseline_walsh_leakage,followup_walsh_leakage,delta_walsh_leakage,baseline_walsh_total_error,followup_walsh_total_error,delta_walsh_total_error
same_lr_extension_1600,3,C32-d8-L2-H4-m4-ffnnone,0,800,1600,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.01577896997332573,0.0025002998299896717,-0.013278670143336058,0.012541444040834904,0.005751325748860836,-0.006790118291974068,0.015775419771671295,0.0062973638996481895,-0.009478055872023106,0.004385048523545265,0.001095022540539503,-0.003290025983005762,0.005982549861073494,0.0020496929064393044,-0.00393285695463419,0.0015252529410645366,0.0005769245908595622,-0.0009483283502049744,0.0044572968035936356,0.0014727681409567595,-0.002984528662636876,0.01036759838461876,0.0031447154469788074,-0.007222882937639952,0.015066346153616905,0.0043665268458426,-0.010699819307774305
same_lr_extension_1600,3,C32-d8-L2-H4-m4-ffnnone,1,800,1600,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.02305418998003006,0.009616533294320107,-0.013437656685709953,0.021546006202697754,0.004442923702299595,-0.01710308250039816,0.02601209655404091,0.010738409124314785,-0.015273687429726124,0.007495450787246227,0.0023999358527362347,-0.005095514934509993,0.009263250976800919,0.00424980791285634,-0.005013443063944578,0.0022036139853298664,0.0010991679737344384,-0.001104446011595428,0.0070596360601484776,0.003150640055537224,-0.003908996004611254,0.016758701764047146,0.006649743765592575,-0.01010895799845457,0.02430107817053795,0.009292135946452618,-0.015008942224085331
same_lr_extension_1600,3,C32-d8-L2-H4-m4-ffnnone,2,800,1600,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.023975832387804985,0.011359401978552341,-0.012616430409252644,0.027720719575881958,0.007718759588897228,-0.02000195998698473,0.025825725868344307,0.010332684963941574,-0.015493040904402733,0.008715808391571045,0.0022253934293985367,-0.006490414962172508,0.009344791993498802,0.0035782274790108204,-0.005766564514487982,0.0018672114238142967,0.0009076404385268688,-0.0009595709852874279,0.0074775805696845055,0.0026705872733145952,-0.00480699329636991,0.018060600385069847,0.005803620908409357,-0.01225697947666049,0.027379225939512253,0.008096428588032722,-0.01928279735147953
same_lr_extension_1600,3,C32-d8-L2-H4-m4-ffnnone,3,800,1600,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.03295157104730606,0.012196965515613556,-0.020754605531692505,0.033029329031705856,0.01273515447974205,-0.020294174551963806,0.02196505293250084,0.0111510269343853,-0.01081402599811554,0.010563511401414871,0.002777963411062956,-0.007785547990351915,0.010583177208900452,0.003981006797403097,-0.0066021704114973545,0.0020125198643654585,0.000861302250996232,-0.0011512176133692265,0.00857065711170435,0.003119704546406865,-0.005450952565297484,0.021146688610315323,0.006758970208466053,-0.01438771840184927,0.0344461165368557,0.01031656563282013,-0.024129550904035568
same_lr_extension_1600,3,C32-d8-L2-H4-m4-ffnnone,4,800,1600,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.011922323144972324,0.008643699809908867,-0.0032786233350634575,0.013070600107312202,0.004692503251135349,-0.008378096856176853,0.018107715994119644,0.010661033913493156,-0.007446682080626488,0.004869409836828709,0.001304503995925188,-0.0035649058409035206,0.006588186603039503,0.0024354320485144854,-0.004152754554525018,0.001800212194211781,0.000751650077290833,-0.001048562116920948,0.004787974525243044,0.0016837818548083305,-0.0031041926704347134,0.011457596439868212,0.0037399360444396734,-0.007717660395428538,0.015221262350678444,0.004743540193885565,-0.010477722156792879
same_lr_extension_1600,3,C32-d8-L2-H4-m4-ffnnone,5,800,1600,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.032769713550806046,0.006188618950545788,-0.026581094600260258,0.02852228656411171,0.008451543748378754,-0.020070742815732956,0.023589221760630608,0.0070116836577653885,-0.01657753810286522,0.01026918739080429,0.0027955668047070503,-0.0074736205860972404,0.010105314664542675,0.004239529371261597,-0.005865785293281078,0.0022198697552084923,0.0010821890318766236,-0.0011376807233318686,0.007885444909334183,0.0031573406886309385,-0.004728104220703244,0.020374502055346966,0.007035096175968647,-0.013339405879378319,0.032502397894859314,0.009994521737098694,-0.02250787615776062
same_lr_extension_1600,3,C32-d8-L2-H4-m4-ffnnone,6,800,1600,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.022178154438734055,0.009383054450154305,-0.01279509998857975,0.017955370247364044,0.009284130297601223,-0.008671239949762821,0.02340414747595787,0.013872330076992512,-0.009531817398965359,0.005913770291954279,0.0021821781992912292,-0.0037315920926630497,0.007149858400225639,0.003362315474078059,-0.00378754292614758,0.0015370259061455727,0.0008560656569898129,-0.0006809602491557598,0.005612832494080067,0.0025062498170882463,-0.0031065826769918203,0.013063628692179918,0.0055444936733692884,-0.00751913501881063,0.019845647737383842,0.007733836770057678,-0.012111810967326164
same_lr_extension_1600,3,C32-d8-L2-H4-m4-ffnnone,7,800,1600,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.022867102175951004,0.004717140458524227,-0.018149961717426777,0.022920891642570496,0.006855922285467386,-0.01606496935710311,0.01665172167122364,0.006109369453042746,-0.010542352218180895,0.005254327319562435,0.0015671930741518736,-0.0036871342454105616,0.009348287247121334,0.0031925756484270096,-0.0061557115986943245,0.0023278133012354374,0.0008817667840048671,-0.0014460465172305703,0.007020474411547184,0.0023108089808374643,-0.00470966543070972,0.01460261456668377,0.004759768722578883,-0.009842845844104886,0.021131981164216995,0.006462006829679012,-0.014669974334537983
same_lr_extension_1600,3,C32-d8-L2-H4-m4-ffnnone,8,800,1600,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.04578661173582077,0.007508326321840286,-0.038278285413980484,0.0463399738073349,0.005140382330864668,-0.04119959147647023,0.03370571881532669,0.0060285534709692,-0.02767716534435749,0.0140933683142066,0.0019047807436436415,-0.012188587570562959,0.011849379166960716,0.0029260781593620777,-0.008923301007598639,0.0026129530742764473,0.0007806260255165398,-0.0018323270487599075,0.009236426092684269,0.002145452192053199,-0.00709097390063107,0.025942747481167316,0.004830858903005719,-0.021111888578161597,0.04023674130439758,0.007175852078944445,-0.03306088922545314
same_lr_extension_1600,3,C32-d8-L2-H4-m4-ffnnone,9,800,1600,0.003,0.003,False,False,fail_to_fail,True,True,True,True,False,True,True,True,True,False,0.011303160339593887,0.004165151622146368,-0.007138008717447519,0.013346079736948013,0.001852318411692977,-0.011493761325255036,0.01250440813601017,0.004644900094717741,-0.007859508041292429,0.006134166847914457,0.001528413500636816,-0.004605753347277641,0.003988051321357489,0.001304758945479989,-0.0026832923758774996,0.00040637661004438996,0.00019818484724964947,-0.0002081917627947405,0.0035816743038594723,0.0011065740836784244,-0.002475100220181048,0.010122218169271946,0.002833172446116805,-0.007289045723155141,0.015661798417568207,0.004194745793938637,-0.01146705262362957
