schema_version,study_id,study_config_hash,cell_id,cell_index,config_hash,seed,checkpoint_index,step,num_concepts,memory_size,d_model,num_layers,num_heads,ffn_width,optimizer,learning_rate,momentum,steps,batch_size,weight_decay,eval_batch_size,loss,accuracy,value_flip_effect,target_key_effect,embedding_effective_rank,qk_frobenius_norms,ov_frobenius_norms,checkpoint_path,snapshot_path
1,smoke-instrumentation-v1,46ae44a2fa87c46a75e78d7501151fa7369605c69dfcaf8df7012249432e40ce,cell-000-fd065ff44374,0,fd065ff443748e8da9793de6ebb8ab06c7673b4cea3f08010c2b316e291e71e8,0,0,0,64,4,16,2,4,,adamw,0.01,0.0,150,512,0.0,2048,1.0472896099090576,0.59716796875,0.10777287185192108,0.08764850348234177,12.606853485107422,"[1.812355399131775,2.012052059173584,1.776341438293457,2.0607106685638428,2.1907739639282227,1.6593916416168213,2.2381553649902344,2.050201654434204]","[2.4639904499053955,2.331435441970825,1.8328787088394165,2.4577317237854004,1.714370608329773,2.261836290359497,2.0910770893096924,1.8251605033874512]",seeds/cell-000-fd065ff44374/seed-0/checkpoint.pt,seeds/cell-000-fd065ff44374/seed-0/snapshots/step-000000.pt
1,smoke-instrumentation-v1,46ae44a2fa87c46a75e78d7501151fa7369605c69dfcaf8df7012249432e40ce,cell-000-fd065ff44374,0,fd065ff443748e8da9793de6ebb8ab06c7673b4cea3f08010c2b316e291e71e8,0,1,10,64,4,16,2,4,,adamw,0.01,0.0,150,512,0.0,2048,0.9032695293426514,0.63232421875,0.1787697970867157,0.13114725053310394,12.524943351745605,"[1.6635011434555054,2.0371203422546387,1.702134370803833,2.0172972679138184,2.274651050567627,1.657997488975525,2.4030251502990723,2.0601181983947754]","[2.553574562072754,2.5493297576904297,1.9135321378707886,2.4954545497894287,1.739072322845459,2.27030348777771,2.1924781799316406,1.9269872903823853]",seeds/cell-000-fd065ff44374/seed-0/checkpoint.pt,seeds/cell-000-fd065ff44374/seed-0/snapshots/step-000010.pt
1,smoke-instrumentation-v1,46ae44a2fa87c46a75e78d7501151fa7369605c69dfcaf8df7012249432e40ce,cell-000-fd065ff44374,0,fd065ff443748e8da9793de6ebb8ab06c7673b4cea3f08010c2b316e291e71e8,0,2,25,64,4,16,2,4,,adamw,0.01,0.0,150,512,0.0,2048,0.7132307291030884,0.72412109375,0.2569291293621063,0.22003766894340515,11.810530662536621,"[1.630680799484253,2.106208086013794,1.7328264713287354,1.9449588060379028,2.314178943634033,1.6840485334396362,2.4522573947906494,2.0698719024658203]","[2.6581943035125732,2.668557643890381,2.0051920413970947,2.5224030017852783,1.7294875383377075,2.288285970687866,2.247567653656006,1.9835604429244995]",seeds/cell-000-fd065ff44374/seed-0/checkpoint.pt,seeds/cell-000-fd065ff44374/seed-0/snapshots/step-000025.pt
1,smoke-instrumentation-v1,46ae44a2fa87c46a75e78d7501151fa7369605c69dfcaf8df7012249432e40ce,cell-000-fd065ff44374,0,fd065ff443748e8da9793de6ebb8ab06c7673b4cea3f08010c2b316e291e71e8,0,3,50,64,4,16,2,4,,adamw,0.01,0.0,150,512,0.0,2048,0.32137566804885864,0.900390625,0.7107383012771606,0.7175119519233704,8.344745635986328,"[2.1171886920928955,3.1589417457580566,2.457920551300049,2.140026092529297,2.3243582248687744,1.7770767211914062,2.690387487411499,2.377856492996216]","[2.768869638442993,2.8698461055755615,2.088240385055542,2.5243606567382812,1.7319587469100952,2.2687156200408936,2.2079250812530518,2.0061593055725098]",seeds/cell-000-fd065ff44374/seed-0/checkpoint.pt,seeds/cell-000-fd065ff44374/seed-0/snapshots/step-000050.pt
1,smoke-instrumentation-v1,46ae44a2fa87c46a75e78d7501151fa7369605c69dfcaf8df7012249432e40ce,cell-000-fd065ff44374,0,fd065ff443748e8da9793de6ebb8ab06c7673b4cea3f08010c2b316e291e71e8,0,4,75,64,4,16,2,4,,adamw,0.01,0.0,150,512,0.0,2048,0.05928312987089157,0.98828125,0.928256094455719,0.9227597713470459,7.27344274520874,"[2.5519587993621826,3.9876632690429688,3.279172897338867,2.164511203765869,2.2032530307769775,2.00770902633667,2.709815740585327,2.8194801807403564]","[2.819474697113037,3.219770669937134,2.243436098098755,2.447495222091675,1.7761530876159668,2.276186943054199,2.1797122955322266,2.1413352489471436]",seeds/cell-000-fd065ff44374/seed-0/checkpoint.pt,seeds/cell-000-fd065ff44374/seed-0/snapshots/step-000075.pt
1,smoke-instrumentation-v1,46ae44a2fa87c46a75e78d7501151fa7369605c69dfcaf8df7012249432e40ce,cell-000-fd065ff44374,0,fd065ff443748e8da9793de6ebb8ab06c7673b4cea3f08010c2b316e291e71e8,0,5,100,64,4,16,2,4,,adamw,0.01,0.0,150,512,0.0,2048,0.019031036645174026,0.9951171875,0.9673614501953125,0.9460080862045288,6.974373817443848,"[2.692643880844116,4.45133113861084,3.5156545639038086,2.1474339962005615,2.2921624183654785,2.162656307220459,2.856085777282715,2.986642599105835]","[2.784299373626709,3.67966890335083,2.415166139602661,2.374603509902954,1.796622395515442,2.2929632663726807,2.1744589805603027,2.2907745838165283]",seeds/cell-000-fd065ff44374/seed-0/checkpoint.pt,seeds/cell-000-fd065ff44374/seed-0/snapshots/step-000100.pt
1,smoke-instrumentation-v1,46ae44a2fa87c46a75e78d7501151fa7369605c69dfcaf8df7012249432e40ce,cell-000-fd065ff44374,0,fd065ff443748e8da9793de6ebb8ab06c7673b4cea3f08010c2b316e291e71e8,0,6,150,64,4,16,2,4,,adamw,0.01,0.0,150,512,0.0,2048,0.0129857137799263,0.99609375,0.9873661398887634,0.9708709716796875,6.859974384307861,"[2.8387584686279297,4.645718097686768,4.07759428024292,2.100640058517456,2.323364734649658,2.1500937938690186,2.886037588119507,3.0540149211883545]","[2.771371841430664,3.77868390083313,2.744971752166748,2.322854518890381,1.7993543148040771,2.290172815322876,2.18803334236145,2.390416383743286]",seeds/cell-000-fd065ff44374/seed-0/checkpoint.pt,seeds/cell-000-fd065ff44374/seed-0/snapshots/step-000150.pt
1,smoke-instrumentation-v1,46ae44a2fa87c46a75e78d7501151fa7369605c69dfcaf8df7012249432e40ce,cell-000-fd065ff44374,0,fd065ff443748e8da9793de6ebb8ab06c7673b4cea3f08010c2b316e291e71e8,1,0,0,64,4,16,2,4,,adamw,0.01,0.0,150,512,0.0,2048,3.1768505573272705,0.525390625,0.10281354188919067,0.12366331368684769,13.410542488098145,"[2.2384557723999023,2.030670166015625,1.9536871910095215,1.8094485998153687,1.866194248199463,2.1552491188049316,2.3287479877471924,2.183628797531128]","[2.3626999855041504,2.0205602645874023,1.967851996421814,1.9890590906143188,1.817794680595398,1.8362617492675781,1.9550424814224243,2.3329861164093018]",seeds/cell-000-fd065ff44374/seed-1/checkpoint.pt,seeds/cell-000-fd065ff44374/seed-1/snapshots/step-000000.pt
1,smoke-instrumentation-v1,46ae44a2fa87c46a75e78d7501151fa7369605c69dfcaf8df7012249432e40ce,cell-000-fd065ff44374,0,fd065ff443748e8da9793de6ebb8ab06c7673b4cea3f08010c2b316e291e71e8,1,1,10,64,4,16,2,4,,adamw,0.01,0.0,150,512,0.0,2048,0.8629159927368164,0.6435546875,0.11037468165159225,0.1005280464887619,13.229499816894531,"[2.358299970626831,2.2238237857818604,1.8719483613967896,1.9383854866027832,2.037163019180298,2.258880376815796,2.2701990604400635,2.333101272583008]","[2.5808019638061523,2.2411561012268066,1.9261605739593506,2.1573801040649414,1.9454103708267212,1.85343337059021,1.8027317523956299,2.3936166763305664]",seeds/cell-000-fd065ff44374/seed-1/checkpoint.pt,seeds/cell-000-fd065ff44374/seed-1/snapshots/step-000010.pt
1,smoke-instrumentation-v1,46ae44a2fa87c46a75e78d7501151fa7369605c69dfcaf8df7012249432e40ce,cell-000-fd065ff44374,0,fd065ff443748e8da9793de6ebb8ab06c7673b4cea3f08010c2b316e291e71e8,1,2,25,64,4,16,2,4,,adamw,0.01,0.0,150,512,0.0,2048,0.7727124691009521,0.69140625,0.229020893573761,0.21018102765083313,12.88701343536377,"[2.501565456390381,2.252347946166992,1.8315783739089966,1.9922295808792114,2.123291015625,2.32096004486084,2.2417914867401123,2.411947727203369]","[2.7204391956329346,2.4083173274993896,2.00076961517334,2.2850794792175293,1.9634727239608765,1.879315733909607,1.8230317831039429,2.4544172286987305]",seeds/cell-000-fd065ff44374/seed-1/checkpoint.pt,seeds/cell-000-fd065ff44374/seed-1/snapshots/step-000025.pt
